Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Olga,12/7/2020 2:26,0:00:13,Autoplayed: user action: None; ,The Blacklist: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:14,Not latest view,US (United States)
Olga,12/7/2020 2:25,0:00:11,Autoplayed: user action: None; ,Knock Knock_hook_02_16x9,HOOK,Chrome PC (Cadmium),0:00:11,0:00:11,US (United States)
Olga,12/7/2020 2:25,0:00:02,,Kodachrome,,Chrome PC (Cadmium),0:00:02,0:00:02,US (United States)
Olga,12/7/2020 2:24,0:00:31,Autoplayed: user action: None; ,Kodachrome (Trailer),TRAILER,Chrome PC (Cadmium),0:00:31,0:00:31,US (United States)
Olga,12/6/2020 2:33,0:31:51,,MANK,,Chrome PC (Cadmium),0:31:51,0:31:51,US (United States)
Olga,12/6/2020 2:33,0:00:04,Autoplayed: user action: None; ,Trailer: MANK Billboard,TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,US (United States)
Olga,12/3/2020 1:26,0:00:19,Autoplayed: user action: None; ,The Last Laugh (Trailer),TRAILER,Chrome PC (Cadmium),0:00:19,0:00:19,US (United States)
Olga,12/2/2020 1:36,0:00:05,Autoplayed: user action: None; ,Django Unchained_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,12/2/2020 1:30,0:00:24,Autoplayed: user action: None; ,The Interview_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:24,0:00:24,US (United States)
Olga,12/2/2020 1:14,0:12:24,,Ludo,,Chrome PC (Cadmium),0:17:41,Not latest view,US (United States)
Olga,12/2/2020 1:11,0:03:19,,Ludo,,Chrome PC (Cadmium),0:05:17,Not latest view,US (United States)
Olga,12/2/2020 0:32,0:01:00,,Ludo,,Chrome PC (Cadmium),0:01:00,Not latest view,US (United States)
Olga,12/2/2020 0:30,0:00:12,Autoplayed: user action: None; ,Trailer: MANK,TRAILER,Chrome PC (Cadmium),0:00:12,0:00:12,US (United States)
Olga,12/1/2020 23:53,0:12:01,,Knock Knock,,Chrome PC (Cadmium),0:13:22,0:13:22,US (United States)
Olga,12/1/2020 23:52,0:00:08,Autoplayed: user action: None; ,The Professor and the Madman_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:08,0:00:08,US (United States)
Olga,12/1/2020 23:51,0:00:20,Autoplayed: user action: None; ,The Last Laugh (Trailer),TRAILER,Chrome PC (Cadmium),0:00:20,Not latest view,US (United States)
Olga,12/1/2020 4:56,0:02:24,Autoplayed: user action: None; ,Season 1 Trailer: Over Christmas,TRAILER,Apple iPhone 11,0:02:24,0:02:24,US (United States)
Olga,12/1/2020 4:29,0:26:35,,Pottersville,,Apple iPhone 11,1:22:21,1:22:21,US (United States)
Olga,12/1/2020 0:25,0:55:45,,Pottersville,,Apple iPhone 11,0:55:45,Not latest view,US (United States)
Olga,11/30/2020 3:28,0:02:46,,The Kominsky Method: Season 2: Chapter 16. A Thetan Arrives (Episode 8),,Chrome PC (Cadmium),0:25:21,0:25:21,US (United States)
Olga,11/30/2020 3:27,0:01:15,,The Kominsky Method: Season 2: Chapter 15. A Hand Job Is Forgiven (Episode 7),,Chrome PC (Cadmium),0:21:07,0:21:07,US (United States)
Olga,11/30/2020 3:26,0:00:54,,"The Kominsky Method: Season 2: Chapter 14. A Secret Leaks, a Teacher Speaks (Episode 6)",,Chrome PC (Cadmium),0:25:12,0:25:12,US (United States)
Olga,11/30/2020 3:26,0:00:22,,The Kominsky Method: Season 2: Chapter 13. A Shenckman Equivocates (Episode 5),,Chrome PC (Cadmium),0:24:56,0:24:56,US (United States)
Olga,11/30/2020 3:19,0:07:04,,The Kominsky Method: Season 2: Chapter 12. A Libido Sits in the Fridge (Episode 4),,Chrome PC (Cadmium),0:25:24,0:25:24,US (United States)
Olga,11/30/2020 2:38,0:01:31,,The Kominsky Method: Season 2: Chapter 12. A Libido Sits in the Fridge (Episode 4),,Chrome PC (Cadmium),0:05:04,Not latest view,US (United States)
Olga,11/30/2020 2:28,0:10:42,,The Kominsky Method: Season 2: Chapter 11. An Odd Couple Occurs (Episode 3),,Chrome PC (Cadmium),0:29:05,0:29:05,US (United States)
Olga,11/30/2020 2:19,0:08:22,,"The Kominsky Method: Season 2: Chapter 10. An Old Flame, an Old Wick (Episode 2)",,Chrome PC (Cadmium),0:22:57,0:22:57,US (United States)
Olga,11/30/2020 2:19,0:00:12,,The Kominsky Method: Season 2: Chapter 9. An Actor Forgets (Episode 1),,Chrome PC (Cadmium),0:25:09,0:25:09,US (United States)
Olga,11/30/2020 2:17,0:02:09,,The Kominsky Method: Season 1: Chapter 8. A Widow Approaches (Episode 8),,Chrome PC (Cadmium),0:24:27,0:24:27,US (United States)
Olga,11/30/2020 2:16,0:00:29,,The Kominsky Method: Season 1: Chapter 1. An Actor Avoids (Episode 1),,Chrome PC (Cadmium),0:00:42,0:00:42,US (United States)
Olga,11/30/2020 2:16,0:00:12,Autoplayed: user action: None; ,Trailer: Dance Dreams: Hot Chocolate Nutcracker,TRAILER,Chrome PC (Cadmium),0:00:12,0:00:12,US (United States)
Olga,11/30/2020 2:15,0:00:33,Autoplayed: user action: None; ,VIRGINRIVER_S2_CLIP_ACT2CONFLICT,HOOK,Chrome PC (Cadmium),0:00:33,0:00:33,US (United States)
Olga,11/29/2020 5:15,1:14:56,,The Christmas Chronicles,,Chrome PC (Cadmium),1:38:26,1:38:26,US (United States)
Olga,11/29/2020 5:12,0:02:30,Autoplayed: user action: None; ,The Christmas Chronicles (Trailer),TRAILER,Chrome PC (Cadmium),0:02:30,0:02:30,US (United States)
Olga,11/29/2020 3:27,1:44:13,,The Christmas Chronicles: Part Two,,Chrome PC (Cadmium),1:44:13,1:44:13,US (United States)
Olga,11/29/2020 3:26,0:00:06,Autoplayed: user action: None; ,Season 2 Trailer: Virgin River,TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,US (United States)
Olga,11/29/2020 3:26,0:00:04,,The Kominsky Method: Season 1: Chapter 1. An Actor Avoids (Episode 1),,Chrome PC (Cadmium),0:00:13,Not latest view,US (United States)
Olga,11/29/2020 3:25,0:01:06,Autoplayed: user action: None; ,Season 1 Trailer 1: The Kominsky Method,TRAILER,Chrome PC (Cadmium),0:01:06,0:01:06,US (United States)
Olga,11/29/2020 3:24,0:00:32,Autoplayed: user action: None; ,Season 2 Trailer: Virgin River,TRAILER,Chrome PC (Cadmium),0:00:32,Not latest view,US (United States)
Olga,11/27/2020 3:49,1:52:36,,Hillbilly Elegy,,Chrome PC (Cadmium),1:51:44,1:51:44,US (United States)
Olga,11/27/2020 3:48,0:00:14,Autoplayed: user action: None; ,Trailer: Hillbilly Elegy,TRAILER,Chrome PC (Cadmium),0:00:14,0:00:14,US (United States)
Olga,11/27/2020 3:46,0:00:31,Autoplayed: user action: None; ,Time Trap (2017)_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:31,0:00:31,US (United States)
Olga,11/27/2020 1:17,0:00:01,,Selfless,,Chrome PC (Cadmium),1:24:30,1:24:30,US (United States)
Olga,11/26/2020 22:34,1:15:50,,Selfless,,Chrome PC (Cadmium),1:24:29,Not latest view,US (United States)
Olga,11/26/2020 22:31,0:02:01,Autoplayed: user action: None; ,Trailer: The Christmas Chronicles: Part Two,TRAILER,Chrome PC (Cadmium),0:02:01,0:02:01,US (United States)
Olga,11/26/2020 18:25,0:00:11,Autoplayed: user action: None; ,Selfless_hook_primary_16x9,HOOK,Apple iPhone 11,0:00:12,0:00:12,US (United States)
Olga,11/22/2020 21:49,1:01:23,,Take Me,,Chrome PC (Cadmium),1:20:52,1:20:52,US (United States)
Olga,11/22/2020 21:48,0:00:04,Autoplayed: user action: None; ,Designated Survivor (Trailer),TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,US (United States)
Olga,11/21/2020 3:21,0:14:19,,Next Gen,,Chrome PC (Cadmium),0:16:45,0:16:45,US (United States)
Olga,11/21/2020 3:21,0:00:05,Autoplayed: user action: None; ,The Secret Life of Pets 2_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,11/21/2020 3:21,0:00:06,Autoplayed: user action: None; ,Trailer: Fearless,TRAILER,Chrome PC (Cadmium),0:00:06,0:00:06,US (United States)
Olga,11/21/2020 3:20,0:00:07,Autoplayed: user action: None; ,Gnome Alone (Clip Standard 3),HOOK,Chrome PC (Cadmium),0:00:07,0:00:07,US (United States)
Olga,11/21/2020 3:20,0:00:05,Autoplayed: user action: None; ,Dr. Seuss' The Lorax_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:05,0:00:05,US (United States)
Olga,11/21/2020 3:20,0:00:04,Autoplayed: user action: None; ,Ripper Street: Series 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:04,0:00:04,US (United States)
Olga,11/21/2020 3:20,0:00:04,Autoplayed: user action: None; ,The Hero's Journey,TEASER_TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,US (United States)
Olga,11/21/2020 3:16,0:03:40,,Designated Survivor: Season 1: Pilot (Episode 1),,Chrome PC (Cadmium),0:03:40,0:03:40,US (United States)
Olga,11/21/2020 3:15,0:00:12,Autoplayed: user action: None; ,Trailer: Pets United,TRAILER,Chrome PC (Cadmium),0:00:12,0:00:12,US (United States)
Olga,11/21/2020 3:14,0:00:33,Autoplayed: user action: None; ,Lovesick (Trailer),TRAILER,Chrome PC (Cadmium),0:00:34,0:00:34,US (United States)
Olga,11/21/2020 3:13,0:00:10,Autoplayed: user action: None; ,The Boss Baby: Back in Business: Season 2 (CHARACTER POD),PROMOTIONAL,Chrome PC (Cadmium),0:00:10,0:00:10,US (United States)
Olga,11/21/2020 3:13,0:00:07,Autoplayed: user action: None; ,The Christmas Chronicles_shortpreview_9x16,PREVIEW,Chrome PC (Cadmium),0:00:07,0:00:07,US (United States)
Olga,11/21/2020 3:12,0:00:58,Autoplayed: user action: None; ,THEPRINCESSSWITCHSA_CLIP_SUPPORTINGCHARACTER,HOOK,Chrome PC (Cadmium),0:00:58,0:00:58,US (United States)
Olga,11/20/2020 3:47,0:01:15,Autoplayed: user action: None; ,Trailer: The Princess Switch: Switched Again,TRAILER,Apple iPhone 11,0:01:15,0:01:15,US (United States)
Olga,11/20/2020 2:54,0:41:16,,Jingle Jangle: A Christmas Journey,,Apple iPhone 11,1:56:27,1:56:27,US (United States)
Olga,11/19/2020 3:27,0:57:18,,Jingle Jangle: A Christmas Journey,,Chrome PC (Cadmium),1:10:50,Not latest view,US (United States)
Olga,11/19/2020 3:24,0:02:27,Autoplayed: user action: None; ,Trailer: Jingle Jangle: A Christmas Journey,TRAILER,Chrome PC (Cadmium),0:02:28,0:02:28,US (United States)
Olga,11/19/2020 1:55,1:29:24,,Cloudy with a Chance of Meatballs 2,,Chrome PC (Cadmium),1:29:24,1:29:24,US (United States)
Olga,11/19/2020 1:54,0:00:36,Autoplayed: user action: None; ,Cloudy with a Chance of Meatballs 2_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:36,0:00:36,US (United States)
Olga,11/19/2020 0:56,0:07:08,,The Office (U.S.): Season 1: Pilot (Episode 1),,Chrome PC (Cadmium),0:07:31,0:07:31,US (United States)
Olga,11/19/2020 0:56,0:00:29,Autoplayed: user action: None; ,Season 1 Trailer: The Duchess,TRAILER,Chrome PC (Cadmium),0:00:29,0:00:29,US (United States)
Olga,11/19/2020 0:55,0:00:08,Autoplayed: user action: None; ,The Office (U.S.): Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:08,0:00:08,US (United States)
Olga,11/19/2020 0:54,0:00:55,Autoplayed: user action: None; ,Cloudy with a Chance of Meatballs 2_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:00,Not latest view,US (United States)
Olga,11/18/2020 5:20,1:36:42,,Wish I Was Here,,Chrome PC (Cadmium),1:39:42,1:39:42,US (United States)
Olga,11/18/2020 5:20,0:00:08,Autoplayed: user action: None; ,Madam Secretary: Season 1_hook_primary_16x9,HOOK,Chrome PC (Cadmium),0:00:08,0:00:08,US (United States)
Olga,11/18/2020 5:20,0:00:04,Autoplayed: user action: None; ,Trailer: The Life Ahead,TRAILER,Chrome PC (Cadmium),0:00:04,0:00:04,US (United States)
Olga,11/15/2020 22:43,0:02:29,Autoplayed: user action: None; ,Season 4 Trailer: The Crown,TRAILER,Chrome PC (Cadmium),0:02:30,0:02:30,US (United States)
Olga,11/15/2020 21:41,1:01:36,,The Queen's Gambit: Limited Series: End Game (Episode 7),,Chrome PC (Cadmium),1:06:40,1:06:40,US (United States)
Olga,11/15/2020 20:58,0:42:19,,The Queen's Gambit: Limited Series: Adjournment (Episode 6),,Chrome PC (Cadmium),0:57:18,0:57:18,US (United States)
Olga,11/15/2020 19:57,0:14:53,,The Queen's Gambit: Limited Series: Adjournment (Episode 6),,Chrome PC (Cadmium),0:14:59,Not latest view,US (United States)
Olga,11/15/2020 19:14,0:33:19,,The Queen's Gambit: Limited Series: Fork (Episode 5),,Chrome PC (Cadmium),0:45:32,0:45:32,US (United States)
Olga,11/15/2020 19:14,0:00:04,Autoplayed: user action: None; ,Season 4 Trailer: The Crown,TRAILER,Chrome PC (Cadmium),0:00:04,Not latest view,US (United States)
Olga,11/15/2020 16:59,0:12:07,,The Queen's Gambit: Limited Series: Fork (Episode 5),,Chrome PC (Cadmium),0:12:13,Not latest view,US (United States)
Olga,11/15/2020 16:21,0:38:19,,The Queen's Gambit: Limited Series: Middle Game (Episode 4),,Chrome PC (Cadmium),0:45:55,0:45:55,US (United States)
Olga,11/15/2020 16:18,0:00:37,Autoplayed: user action: None; ,Season 4 Trailer: The Crown,TRAILER,Chrome PC (Cadmium),0:00:37,Not latest view,US (United States)
